,mean,amplitude,rms,duration,number_of_peaks,zero_crossing_rate,peak-to-peak_value,peaks_mean,peaks_standard_deviation,Train label
74,136.03309198023564,1649.8966666666668,200.69677535565725,1754,21,21,1381.6133333333335,638.735873015873,306.4504671402562,4
75,21.19970149253731,113.79666666666667,24.40681289834833,469,8,1,71.40333333333334,74.30416666666667,26.161357409885632,6
76,63.734452054794524,547.91,94.21497348031312,438,5,4,444.43999999999994,304.482,170.82170793094312,2
77,196.53134757959006,2495.7566666666667,296.94535568104595,2293,31,37,2160.51,849.3773118279569,518.4526623499889,4
78,209.52337317397078,1987.1133333333335,274.8406827768863,2259,30,38,1590.7066666666667,826.8754444444445,398.92173555768807,4
79,16.712545572916667,169.60666666666668,21.033403506637004,512,8,1,137.55,57.26166666666667,42.8212772592214,6
80,40.85770716510904,188.33666666666667,35.33070060398832,535,7,1,93.16,125.97523809523808,30.322408595600525,3
81,71.98111111111112,477.91333333333336,96.27346801908286,321,4,4,320.38666666666666,305.84250000000003,123.25008761265762,5
82,180.52355588163365,1763.7100000000003,248.1728574750331,1363,13,17,1424.7800000000004,839.5002564102566,494.9774337383379,4
83,16.97196151458721,119.72666666666665,19.002530213684793,537,9,1,88.19333333333331,55.26222222222222,27.762567702431603,6
84,227.29697831978322,2673.096666666667,325.10445401852337,1476,16,21,2297.5833333333335,1013.8518750000001,565.5107984907793,4
85,198.61987679671458,2735.6133333333332,301.18651622224326,1948,24,30,2400.423333333333,819.835138888889,500.0504265071481,4
86,67.08755447941888,804.8466666666664,104.29906118037403,413,7,3,673.1199999999997,275.0166666666666,219.72183716459332,2
87,41.491437539234155,259.2633333333334,43.87113271900042,531,9,3,189.70000000000005,130.0411111111111,60.84198217564685,3
88,75.35100278551532,665.26,120.28201616276306,359,7,3,524.5733333333334,277.3642857142857,182.91035672999212,5
89,207.8852162849873,1861.8166666666666,263.60240863742223,1703,27,29,1487.8766666666666,707.500987654321,350.4623669737853,4
90,454.5181617301364,2354.0299999999993,482.4153135269927,1418,21,23,1404.536666666666,1489.3412698412696,461.55393257520416,4
91,100.51490729421351,984.46,123.30085349447067,3272,54,49,824.7966666666667,364.6482716049382,165.41367403424206,4
92,9.177301587301587,74.37666666666667,15.340785222694608,378,3,1,58.626666666666665,54.76000000000001,27.58438621689747,6
93,9.54547780285929,69.75333333333333,12.037404516362349,443,7,1,53.71666666666667,33.87761904761904,17.026745880626947,6
94,603.7409458720612,3507.353333333333,741.9685785831257,1829,15,18,2415.8266666666664,2240.552666666667,602.5331192768424,4
95,91.67741001855288,864.1966666666667,115.01153293262266,2695,40,28,713.2666666666667,331.1826666666667,181.08645124666594,4
96,7.482719502719501,33.03,6.854700545336166,429,7,1,19.880000000000003,20.342380952380953,6.537556146054258,6
97,186.90804478897502,1093.2666666666667,270.1009600764482,387,6,7,700.2366666666667,650.4433333333333,260.0208655872462,5
98,162.82589105058364,1838.2666666666664,254.82899678652927,1285,16,14,1570.5299999999997,676.5045833333334,443.99041485661445,4
99,8.25492268041237,43.603333333333325,8.401315483626309,388,8,1,29.173333333333325,23.43333333333333,9.190068612970801,6
100,692.9201098297639,4562.7,862.4665313879315,1821,24,26,3389.9466666666667,2255.9258333333332,929.229313617159,4
101,471.53682625389973,3806.4533333333334,574.3883906138535,2778,37,53,3063.22,1640.8420720720721,686.5041668735489,4
102,18.399688109161794,141.04666666666665,27.445296518056047,513,3,1,109.95333333333332,78.35222222222221,46.19614817463507,6
103,194.21917905166313,1562.25,318.0511518628845,471,7,9,1129.6299999999999,1022.2909523809523,395.29460880247194,2
104,167.5994934640523,1398.2466666666667,272.47211308079784,408,6,8,1072.3433333333332,821.551111111111,343.28572194508473,5
105,89.24889577594124,835.3499999999999,106.77811816332323,1452,16,12,694.5299999999999,334.9527083333333,208.02328406407733,4
106,152.50331732308675,1526.4166666666667,196.052575698779,2082,27,31,1224.1866666666667,562.4033333333333,261.67503162378455,4
107,302.3492905230451,3722.896666666666,546.459860532959,1931,16,36,3174.976666666666,1052.6154166666665,764.9203948676937,4
108,12.88612954186414,72.47000000000001,14.051473306424676,422,6,1,45.82333333333335,49.17611111111111,15.948889943569707,6
109,259.31960948396096,1068.0033333333333,305.39336841066245,239,7,10,617.2333333333333,726.547619047619,212.81987790344914,2
110,254.64908152054497,3082.2033333333334,500.9500428850136,1517,16,19,2609.616666666667,1391.6233333333334,910.63210825869,4
111,274.9408367346939,2387.0466666666666,364.6699919569944,1960,28,38,1927.1366666666665,1009.4420238095238,545.4292927960064,4
112,8.846366047745358,36.833333333333336,8.335156948005448,377,6,1,17.576666666666668,28.153333333333336,6.945875141512513,6
113,104.42267692965576,1964.8233333333337,251.34751784212563,1559,11,12,1791.2300000000005,820.947878787879,661.451996270514,4
114,12.604104575163399,88.22000000000001,14.502606722866316,510,10,1,68.45666666666668,39.07866666666666,22.91668146423765,6
115,72.53922711390635,338.5166666666667,49.38284632540528,2385,37,10,221.27333333333337,178.92099099099096,47.57011653029268,4
116,306.8286941755816,2604.726666666667,424.90839067660033,1963,27,32,2071.03,1160.4602469135802,564.2576595569291,4
117,135.8092273901809,885.27,154.6006134169146,1290,23,25,663.4566666666666,421.23898550724635,218.17269853916116,4
118,158.46061067654728,1880.4466666666667,215.66739311157224,2429,30,36,1594.04,633.2263333333334,385.43941007764107,4
119,46.84998756218906,168.83333333333334,31.398141068693423,2948,42,1,92.08,120.47507936507935,26.59023060483004,4
120,67.87423824533754,656.27,74.09759723857957,2538,49,13,548.5166666666667,207.31666666666666,106.12332186654794,4
121,435.0892207327972,2874.9733333333334,564.3707681624262,1865,26,32,1933.3733333333334,1700.0928205128205,574.1178568347175,4
122,202.9148502604167,1768.2300000000002,230.78469139748043,2048,40,44,1457.1900000000003,613.4036666666667,320.63669647090893,4
123,752.695337450375,3706.6533333333336,802.3156338422721,2267,34,28,2386.6333333333337,2336.6967647058827,766.4990782566479,4
124,110.9337806929028,1041.3799999999999,160.05818992984607,991,14,15,852.3499999999999,494.6842857142857,214.45503507110044,4
125,11.643034953111679,50.39000000000001,10.578514870465007,391,8,1,30.22333333333334,31.444583333333334,8.700721703383131,6
126,98.89119510061244,1028.16,155.746735004406,1905,22,21,856.2233333333335,489.2316666666666,279.38686582172556,4
127,335.79257332071904,3175.4199999999996,471.21712049907035,2114,27,42,2632.3966666666665,1381.8523456790122,750.622928962204,4
128,18.45715555555556,66.62,13.389085953662704,450,10,1,34.80333333333333,43.06466666666667,9.9949517479798,6
129,55.44835992907801,319.2733333333333,65.56123772219344,376,8,3,203.40999999999997,174.59208333333333,71.06251826810085,2
130,124.13757281553399,724.9133333333333,156.64349510424657,309,5,5,319.1766666666666,508.1286666666667,112.03408327825956,2
131,13.668430962343097,86.33999999999999,14.995957497338084,478,6,1,64.20666666666665,43.336666666666666,23.778365828657808,6
132,67.36773873873875,519.1099999999999,106.11665341261619,370,5,4,377.57333333333327,307.1066666666667,148.71267670690796,5
133,96.4031924882629,1040.6833333333334,174.19230676220826,426,6,6,886.61,473.05333333333334,298.23599128877794,2
134,17.62757075471698,65.69666666666667,16.451497881413825,424,9,1,33.080000000000005,48.008148148148145,11.761205858129998,6
